id. Response ID	groupsInvolved[res]. In your research processes, did you actively involve one or more of the following groups(*)? [researchers from other disciplines]	groupsInvolved[busi]. In your research processes, did you actively involve one or more of the following groups(*)? [company/business representatives (incl. farmers)]	groupsInvolved[civsoc]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives of NGOs, advocacy or other civil society groups]	groupsInvolved[policy]. In your research processes, did you actively involve one or more of the following groups(*)? [policy makers, public administrations, representatives from governmental agencies]	groupsInvolved[citiz]. In your research processes, did you actively involve one or more of the following groups(*)? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	groupsInvolved[media]. In your research processes, did you actively involve one or more of the following groups(*)? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	groupsInvolved[welfare]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	natureOfInvolvement[res]. What was the nature of involvement of those groups? [researchers from other disciplines]	natureOfInvolvement[busi]. What was the nature of involvement of those groups? [company/business representatives (incl. farmers)]	natureOfInvolvement[civsoc]. What was the nature of involvement of those groups? [ representatives of NGOs, advocacy or other civil society groups]	natureOfInvolvement[policy]. What was the nature of involvement of those groups? [ policy makers, public administrations, representatives from governmental agencies]	natureOfInvolvement[citiz]. What was the nature of involvement of those groups? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	natureOfInvolvement[media]. What was the nature of involvement of those groups? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	natureOfInvolvement[welfare]. What was the nature of involvement of those groups? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[pub]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [the general population]	impactTargetGroup[busi]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [businesses]	impactTargetGroup[socgr]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [specific social groups (e.g. women/men/non-binary, youth/elderly; migrants; or minorities/indigenous people)]	impactTargetGroup[welfare]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [welfare- and education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[civsoc]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [NGOs, advocacy or other civil society groups]	impactTargetGroup[policy]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [policy-making, public administration, governmental agencies]	impactTargetGroup[acad]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [academia ]	kindOfChange[pub]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [the general population]	kindOfChange[busi]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [businesses]	kindOfChange[socgr]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [specific social groups]	kindOfChange[welfare]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [welfare- and education-providing institutions]	kindOfChange[civsoc]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [NGOs, advocacy or other civil society groups]	kindOfChange[policy]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [policy-making, public administration, governmental agencies]	kindOfChange[acad]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [academia]
119	quite centrally	quite centrally		no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)						5	7	0	6	0	0	7	changing awareness			changing awareness			changing awareness
120	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		1	1	0	6	1	0	10				changing awareness			changing understanding
121	quite centrally	no	no	only marginally	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		0	2	0	0	0	0	7							changing understanding
122	only marginally	no	no	quite centrally	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				0	0	10	0	0	7	10			changing behaviour			changing behaviour	changing behaviour
123	quite centrally	no	no	no	quite centrally	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		0	0	0	3		0	7							changing understanding
124	quite centrally	no	only marginally	no	only marginally	only marginally	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	5	0	6	6	4	0	6	changing awareness		changing awareness	changing awareness	changing understanding		changing attitude
125	quite centrally	no	no	no	quite centrally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			0	0	0	0	0	0	8							changing behaviour
126	no	no	only marginally	quite centrally	no	no	no			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)				0	0	0	2		8	5						changing understanding	changing understanding
127	quite centrally							contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							3						8	changing understanding						changing understanding
128	quite centrally	no	no	only marginally	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		2	3	0	0	0	8	10		changing behaviour				changing awareness	changing understanding
129	quite centrally	only marginally	quite centrally	quite centrally	only marginally	quite centrally	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	7	6	7	7	7	8	7	changing awareness	changing awareness	changing attitude	changing attitude	changing attitude	changing behaviour	changing attitude
130	only marginally	no	no	only marginally	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				2	1	2	0	0	1	8							changing understanding
131	quite centrally	no	no	only marginally	quite centrally	no	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	6	7	8	7	0	0	10	changing understanding	changing awareness	changing behaviour	changing understanding			changing understanding
132	only marginally	only marginally	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)						8	10	0	0	0	0	10	changing understanding	changing behaviour					changing behaviour
134	quite centrally	no	no	only marginally	only marginally	no	no	co-created (collaborative + participated in designing study and/or determining objectives)			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)			1	0	0	0	0	1	2							
135	quite centrally	only marginally	no	only marginally	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		0	0	0	5	0	3	10				other		other	changing understanding
136	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							1	0	1	0		1	8							changing behaviour
137	no	no			only marginally		no					co-created (collaborative + participated in designing study and/or determining objectives)			3			3		3	3						changing understanding	
138	only marginally	no	quite centrally	only marginally	only marginally	only marginally	only marginally	consultative (provide information via interviews, online questionnaires, etc.)		collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	10	8	7	7	10	10	10	changing understanding	changing understanding	changing understanding	changing understanding	changing understanding	changing understanding	changing understanding
139	quite centrally	quite centrally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)						6	5	0	0	0	0	6	changing understanding	changing understanding					changing understanding
140	only marginally	only marginally	only marginally	only marginally	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)				6	3	2	0	3	6	9	changing awareness	changing awareness			changing awareness	changing behaviour	changing behaviour
141	no	no	no	no	no	no	no								0	0	0	1	0	0	3							changing understanding
142	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	0							
143	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		0	0	0	0	0	0	10							changing understanding
144	no	no	no	no	no	no	no									0	0	5	0	0	10				changing awareness			changing behaviour
145	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							1	0	0	0	0	6	9						changing behaviour	changing understanding
146	quite centrally	only marginally	only marginally	only marginally	quite centrally	only marginally	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	4	2	9	3	2	2	7	changing awareness		changing understanding	changing behaviour			changing attitude
147	quite centrally	only marginally	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)						5	0	0	0	0	0	0	changing understanding						
148	no	no	no	no	no	no	no								0	0	0	0	0	0	7							changing attitude
149	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							6	8	0	0	6	8	10	changing awareness	changing awareness			changing awareness	changing awareness	changing understanding
151	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	8							
153	no	no	no	only marginally	no	no	quite centrally				consultative (provide information via interviews, online questionnaires, etc.)			collaborative (contributory + interpreting data and/or drawing conclusions)	0	0	0	4	0	3	5				changing behaviour		changing awareness	changing understanding
155	no	no	no	no	no	no	no								0	0	0	0	0	0	8							changing understanding
156	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
158	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							5	5	10	0	0	0	4	changing understanding	changing understanding	changing understanding				changing understanding
159	only marginally	no	no	no	no	no	only marginally	consultative (provide information via interviews, online questionnaires, etc.)						collaborative (contributory + interpreting data and/or drawing conclusions)	3	0	2	3	0	0	5	changing understanding			changing understanding			changing understanding
162	only marginally	no	no	only marginally	only marginally	no	only marginally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	0	0	1	3	0	2	5				other			changing understanding
163	quite centrally	quite centrally	no	quite centrally	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				8	8	0	0	0	10	10	changing understanding	changing understanding				changing understanding	changing understanding
164	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		5	2	1	1	1	3	8	changing understanding					changing understanding	changing understanding
166	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	10							changing understanding
167	quite centrally	no	only marginally	no	only marginally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		3	3	7	1	3	2	7	changing awareness		changing understanding		changing awareness		changing attitude
168	only marginally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		0	1	0	0	0	1	6							changing understanding
169	quite centrally	no	only marginally	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		5	0	2	0	6	0	10	changing understanding				changing awareness		changing understanding
170	quite centrally	only marginally	only marginally	quite centrally	only marginally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		7	3	3	3	3	7	7	changing attitude	changing attitude	changing awareness	changing understanding	changing understanding	changing behaviour	changing understanding
171	quite centrally	only marginally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)						7	9	0	0	0	7	10	changing behaviour	changing behaviour				changing behaviour	changing behaviour
173	quite centrally	no	no	no	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)					consultative (provide information via interviews, online questionnaires, etc.)		8	2	0	10	0	0	7	other			other			other
175	quite centrally	only marginally	no	quite centrally	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		3	5	0	0	3	8	10	changing understanding	changing attitude			changing attitude	changing attitude	changing understanding
176	no	no	no	no	no	no	only marginally							consultative (provide information via interviews, online questionnaires, etc.)	0	0	0	0	0	0	10							changing understanding
177	no	no	no	only marginally	no	no	no				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				0	0	0	0	0	3	6						changing understanding	changing understanding
178	quite centrally	no	only marginally	only marginally	only marginally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)		consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		1	5	0	0	5	7	10		changing awareness			changing awareness	changing understanding	changing understanding
179	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	2	0	0	0	0	10							changing understanding
181	quite centrally	only marginally	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)						0	1	0	0	0	0	10							changing understanding
182	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							3	3	3	3	3	3	6	changing awareness	other	other	other	other	other	changing awareness
183	no	no	no	only marginally	no	no	no				consultative (provide information via interviews, online questionnaires, etc.)				7	0	0	0	0	5	7	changing awareness					changing understanding	changing understanding
184	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							2	2	0	3	0	1	10				changing understanding			changing understanding
185	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	0	4							changing understanding
186	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	4	0	0	0	0	10		changing awareness					changing understanding
187	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
188	no	no	no	quite centrally	no	no	no				collaborative (contributory + interpreting data and/or drawing conclusions)				7	8	0	0	8	9	9	changing understanding	changing understanding			changing understanding	changing understanding	changing understanding
189	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	7							changing understanding
190	only marginally	no	no	no	no	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	5	0	0	2	0	0	9	changing understanding						changing understanding
191	no	quite centrally	no	no	no	no	no		collaborative (contributory + interpreting data and/or drawing conclusions)						6	9	2	2	3	5	7	changing awareness	changing behaviour			changing awareness	changing attitude	changing attitude
192	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							3	0	0	3	2	4	5	changing awareness			changing attitude		changing attitude	changing attitude
193	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					consultative (provide information via interviews, online questionnaires, etc.)		0	0	0	0	0	0	7							changing understanding
195	no	no	only marginally	only marginally	only marginally	only marginally	only marginally			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	5	0	10	10	10	10	10	changing understanding		changing awareness	changing awareness	changing awareness	changing awareness	changing awareness
196	no	no	no	no	no	no	no								0	0	0	0	0	0	9							changing understanding
197	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							1	0	0	0	0	0	10							changing understanding
198	no	no	no	no	no	no	no								2	3	1	0	0	0	4		changing understanding					changing understanding
199	quite centrally	only marginally	no	only marginally	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		8	0	0	0	2	10	9	other					changing understanding	changing awareness
200	only marginally	only marginally	no	only marginally	no	no	only marginally	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)				2	2	2	4	0	1	4				changing awareness			other
201	only marginally	no	no	no	quite centrally	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			5	2	0	7	0	0	10	changing awareness			changing understanding			changing behaviour
202	quite centrally	only marginally	no	no	no	only marginally	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)				consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	5	0	0	5	0	0	5	other			other			changing understanding
203	no	no	no	only marginally	no	only marginally	no				consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		4	0	0	0	4	8	5	changing awareness				changing behaviour	changing behaviour	changing attitude
204	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							8	0	0	3	0	7	9	changing attitude			changing understanding		changing attitude	changing behaviour
205	no	only marginally	no	only marginally	no	no	no		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)				2	2	2	2	2	2	9							changing understanding
206	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							3	2	0	0	0	2	10	changing understanding						changing understanding
207	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							5	2	2	2	2	2	6	other						changing understanding
208	quite centrally	no	no	no	no	no	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)						collaborative (contributory + interpreting data and/or drawing conclusions)	7	4	2	10	0	0	9	changing understanding	changing understanding		changing behaviour			changing awareness
209	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							8	0	0	0	0	0	7	changing understanding						changing understanding
210	quite centrally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							2	2	0	1	0	0	7							changing understanding
211	quite centrally	only marginally	only marginally	only marginally	only marginally	quite centrally	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	9	9	8	9	2	3	10	changing awareness	changing awareness	changing awareness	changing awareness		changing awareness	changing understanding
212	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	0	0							
213	only marginally	no	no	no	only marginally	no	no								2	3	1	1	1	1	10		other					changing understanding
214	only marginally	no	only marginally	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)					0	0	0	0	1	0	0							
215	only marginally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							1	0	0	1	0	0	9							changing understanding
216	quite centrally	quite centrally	no	quite centrally	quite centrally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)	co-created (collaborative + participated in designing study and/or determining objectives)		co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		10	10	0	10	0	10	10	changing awareness	changing behaviour		changing awareness		changing behaviour	changing behaviour
217	no	quite centrally	no	no	no	no	no		collaborative (contributory + interpreting data and/or drawing conclusions)						3	8	0	9	3	4	10	changing understanding	changing understanding		changing understanding	changing attitude	changing understanding	changing understanding
218	no	quite centrally	no	no	no	no	no		collaborative (contributory + interpreting data and/or drawing conclusions)						0	4	0	0	0	0	0		other					
219	no	no	no	no	no	no	no								2	0	0	0	0	0	8							changing awareness
220	no	no	no	no	no	no	no								4	3	4	1	4	5	9	changing understanding	changing understanding	changing understanding		changing understanding	changing understanding	changing understanding
221	no	no	quite centrally	quite centrally	quite centrally	no	quite centrally			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	2	0	0	3	3	3	5				changing awareness	changing awareness	changing awareness	changing understanding
222	no	only marginally	no	only marginally	no	quite centrally	no		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		collaborative (contributory + interpreting data and/or drawing conclusions)		5	5	1	1	1	7	9	changing awareness	changing awareness				changing awareness	changing awareness
223	only marginally	quite centrally	no	no	quite centrally	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)			5	9	1	1	1	3	10	changing behaviour	changing behaviour				changing awareness	changing behaviour
224	no	quite centrally	no	no	no	quite centrally	only marginally		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)	3	9	0	3	0	10	10	changing awareness	changing behaviour		changing understanding		changing awareness	changing understanding
225	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		5	0	0	0	0	0	9	changing awareness						changing attitude
226	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							6	4	0	0	0	1	7	other	other					changing understanding
227	no	no	no	no	no	no	no								4	1	0	0	0	8	0	changing behaviour					changing understanding	
228	no	no	no	no	no	no	no								3	3	0	0	0	0	10	other	changing understanding					changing understanding
229	quite centrally	no	no	no	only marginally	no	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	9	5	0	4	0	0	10	changing understanding	changing understanding		changing understanding			changing understanding
231	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
232	quite centrally	no	no	no		only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	8	3	8	9	0	8	9	changing behaviour	other	other	changing attitude		changing behaviour	changing understanding
233	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							3	1	3	0	0	0	3	changing understanding		changing awareness				changing awareness
234	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	0	0	0	0	0	8							changing understanding
235	only marginally	no	no	no	no	only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)					consultative (provide information via interviews, online questionnaires, etc.)		0	0	0	0	0	0	7							changing behaviour
236	quite centrally	only marginally	no	no	only marginally	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			0	0	0	0	0	0	10							changing understanding
237	only marginally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		7	0	0	0	0	0	8	changing attitude						changing awareness
238	quite centrally	no	no	no	only marginally	no	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)				consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	6	1	1	6	1	3	9	changing understanding			changing understanding		changing understanding	changing understanding
239	quite centrally	only marginally	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				consultative (provide information via interviews, online questionnaires, etc.)		9	5	6	7	3	2	8	changing behaviour	changing awareness	changing attitude	changing awareness	changing awareness		changing behaviour
240	only marginally	only marginally	no	only marginally	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)				5	4	3	5	2	2	9	changing understanding	changing understanding	changing understanding	changing understanding			changing awareness
241	only marginally							contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	0	0	0	0	0	0							
242	only marginally	no	quite centrally	quite centrally	no	no	quite centrally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	0	0	0	5	0	5	7				changing awareness		changing awareness	other
244	quite centrally	only marginally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)						7	3	3	4	1	1	6	other	changing awareness	other	changing awareness			changing understanding
